name,ROW_ID,cueType,a,a_soundTyp,b,b_soundTyp,c,c_soundTyp,d,d_soundTyp,a_weighted,b_weighted,c_weighted,d_weighted,weighted_zSound
TYS_104,57,label,330.0,1.4500000480000002,160.0,0.150000006,624.0,0.059999999000000005,0.0,NA,478.50001584000006,24.000000959999998,37.439999376,NA,0.48468583139676846
TYS_104,58,label,0.0,NA,273.99999999999994,0.150000006,364.0,0.059999999000000005,0.0,NA,NA,41.10000164399999,21.839999636,NA,0.09865203962382443
TYS_104,59,sound,200.0,0.800000012,174.0,-0.079999998,0.0,NA,223.99999999999997,-0.44999998799999996,160.0000024,-13.919999652000001,NA,-100.79999731199997,0.07571907263545155
TYS_104,60,sound,314.0,0.800000012,0.0,NA,0.0,NA,230.0,-0.44999998799999996,251.20000376800002,NA,NA,-103.49999723999998,0.2715073649411765
TYS_104,61,sound,186.00000000000003,0.800000012,0.0,NA,0.0,NA,0.0,NA,148.80000223200003,NA,NA,NA,0.800000012
TYS_104,62,sound,0.0,NA,0.0,NA,216.00000000000003,-0.27000001100000004,0.0,NA,NA,NA,-58.32000237600002,NA,-0.27000001100000004
TYS_104,63,label,246.00000000000003,0.800000012,0.0,NA,180.0,-0.27000001100000004,386.0,-0.44999998799999996,196.80000295200003,NA,-48.60000198000001,-173.69999536799997,-0.031403933985221615
TYS_104,64,label,0.0,NA,156.0,-0.079999998,252.00000000000003,-0.27000001100000004,88.00000000000001,-0.44999998799999996,NA,-12.479999688000001,-68.04000277200002,-39.599998944000006,-0.24217742218548394
TYS_104,65,label,250.0,0.800000012,126.0,-0.079999998,0.0,NA,0.0,NA,200.00000300000002,-10.079999748,NA,NA,0.5051063916276596
TYS_104,66,label,176.00000000000003,0.800000012,0.0,NA,0.0,NA,0.0,NA,140.80000211200002,NA,NA,NA,0.8000000119999999
TYS_104,67,sound,403.99999999999994,1.169999957,204.0,0.910000026,136.0,-0.27000001100000004,0.0,NA,472.6799826279999,185.640005304,-36.72000149600001,NA,0.835483852736559
TYS_104,68,sound,0.0,NA,190.0,0.910000026,0.0,NA,296.0,-1.4700000290000002,NA,172.90000494,NA,-435.12000858400006,-0.5395473326008231
TYS_104,69,sound,486.0,1.169999957,174.0,0.910000026,0.0,NA,204.0,-1.4700000290000002,568.619979102,158.340004524,NA,-299.880005916,0.49430552975694436
TYS_104,70,sound,0.0,NA,0.0,NA,424.0,-0.27000001100000004,0.0,NA,NA,NA,-114.48000466400002,NA,-0.27000001100000004
TYS_104,71,label,196.0,1.169999957,142.0,0.910000026,422.0,-0.27000001100000004,132.0,-1.4700000290000002,229.319991572,129.220003692,-113.94000464200002,-194.040003828,0.056681599544843045
TYS_104,72,label,372.0,1.169999957,424.0,0.910000026,0.0,NA,218.0,-1.4700000290000002,435.23998400399995,385.840011024,NA,-320.460006322,0.49370807564694275
TYS_104,73,label,0.0,NA,192.0,0.910000026,210.0,-0.27000001100000004,246.00000000000003,-1.4700000290000002,NA,174.72000499199999,-56.70000231000001,-361.6200071340001,-0.3759259327962965
TYS_104,74,label,0.0,NA,0.0,NA,244.0,-0.27000001100000004,0.0,NA,NA,NA,-65.880002684,NA,-0.27000001100000004
TYS_104,75,sound,248.0,1.399999976,246.00000000000003,-0.150000006,0.0,NA,366.0,-1.8099999430000002,347.199994048,-36.900001476,NA,-662.4599791380001,-0.40948835647209314
TYS_104,76,sound,226.0,1.399999976,0.0,NA,0.0,NA,482.0,-1.8099999430000002,316.399994576,NA,NA,-872.4199725260002,-0.7853389519067798
TYS_104,77,sound,268.0,1.399999976,0.0,NA,564.0,-0.639999986,280.0,-1.8099999430000002,375.19999356799997,NA,-360.959992104,-506.7999840400001,-0.44294962461870513
TYS_104,78,sound,0.0,NA,0.0,NA,0.0,NA,0.0,NA,NA,NA,NA,NA,NA
TYS_104,79,label,273.99999999999994,1.399999976,126.0,-0.150000006,0.0,NA,152.0,-1.8099999430000002,383.5999934239999,-18.900000755999997,NA,-275.11999133600006,0.16228261110869532
TYS_104,80,label,94.0,1.399999976,0.0,NA,0.0,NA,0.0,NA,131.599997744,NA,NA,NA,1.3999999760000001
TYS_104,81,label,0.0,NA,0.0,NA,0.0,NA,0.0,NA,NA,NA,NA,NA,NA
TYS_104,82,label,0.0,NA,0.0,NA,0.0,NA,0.0,NA,NA,NA,NA,NA,NA
TYS_104,83,sound,132.0,1.0299999709999998,0.0,NA,210.0,-0.7300000190000001,174.0,-1.379999995,135.959996172,NA,-153.30000399000002,-240.11999913,-0.4989535018372093
TYS_104,84,sound,0.0,NA,218.0,0.889999986,156.0,-0.7300000190000001,212.0,-1.379999995,NA,194.019996948,-113.88000296400001,-292.55999893999996,-0.3624914760341296
TYS_104,85,sound,0.0,NA,114.0,0.889999986,176.00000000000003,-0.7300000190000001,210.0,-1.379999995,NA,101.45999840399999,-128.48000334400004,-289.79999895,-0.6336400077800001
TYS_104,86,sound,0.0,NA,92.0,0.889999986,0.0,NA,0.0,NA,NA,81.879998712,NA,NA,0.8899999860000001
TYS_104,87,label,0.0,NA,294.0,0.889999986,260.0,-0.7300000190000001,198.0,-1.379999995,NA,261.659995884,-189.80000494000004,-273.23999900999996,-0.2677925639175532
TYS_104,88,label,226.0,1.0299999709999998,0.0,NA,0.0,NA,422.0,-1.379999995,232.77999344599996,NA,NA,-582.3599978899999,-0.5394753154999999
TYS_104,89,label,0.0,NA,528.0,0.889999986,168.0,-0.7300000190000001,0.0,NA,NA,469.919992608,-122.64000319200002,NA,0.49896550203448264
TYS_104,90,label,340.0,1.0299999709999998,154.0,0.889999986,218.0,-0.7300000190000001,0.0,NA,350.19999013999995,137.059997844,-159.14000414200004,NA,0.46084267393539313
TYS_104,91,sound,0.0,NA,196.0,1.0299999709999998,420.0,-0.9599999790000001,240.0,-1.24000001,NA,201.87999431599997,-403.19999118000004,-297.6000024,-0.5828504664299067
TYS_104,92,sound,366.0,1.149999976,0.0,NA,0.0,NA,80.0,-1.24000001,420.899991216,NA,NA,-99.2000008,0.721300426941704
TYS_104,93,sound,198.0,1.149999976,111.99999999999999,1.0299999709999998,0.0,NA,234.0,-1.24000001,227.699995248,115.35999675199997,NA,-290.16000234,0.09724262805147052
TYS_104,94,sound,136.0,1.149999976,198.0,1.0299999709999998,324.0,-0.9599999790000001,212.0,-1.24000001,156.399996736,203.93999425799996,-311.039993196,-262.88000212,-0.24549425784137935
TYS_104,95,label,222.0,1.149999976,310.0,1.0299999709999998,182.0,-0.9599999790000001,174.0,-1.24000001,255.299994672,319.2999910099999,-174.71999617800003,-215.76000173999998,0.20734232856306295
TYS_104,96,label,92.0,1.149999976,0.0,NA,0.0,NA,0.0,NA,105.799997792,NA,NA,NA,1.149999976
TYS_104,97,label,182.0,1.149999976,176.00000000000003,1.0299999709999998,0.0,NA,276.0,-1.24000001,209.299995632,181.279994896,NA,-342.24000276,0.07624603748895901
